13.03.2018                                                                                        Dynamic List Display                                                                                                1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.03.2018                                                                                          Lantek Details data                                                                                             1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lantek Details data
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Order     |Total order quantity|BUn|Material   |Document            |Vers|Material Description                    |MRP controller|Basic Start Date|Basic finish date|Material   |Customer material number           |
| 1032937683|                  1 |EA |E007.A40917|101454.01W_SMV13    |02  |101454.01W_SMV13 PLATE FRONT T=15       |E52           |12.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937725|                  6 |EA |E007.A28018|602429.01           |2   |602429.01 T=15 PLATE ATTACHMENT CYLINDER|E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937738|                  4 |EA |E007.A09651|A09594.0600         |02  |A09594.0600 T=30 STIFFENING             |E52           |12.03.2018      |21.03.2018       |B001.A04185|                                   |
| 1032937820|                  4 |EA |E007.A11150|A40076.0200PA       |02  |PLATE FRONT A40076.0200                 |E52           |03.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937830|                  2 |EA |E007.A03434|100877.01_PA06      |03  |100877.01 BATH/WANNA T=25               |E52           |13.03.2018      |22.03.2018       |B001.A02677|                                   |
| 1032937831|                  1 |EA |E007.A33227|101456.01 W         |02  |101456.01 W PLATE REAR T=15             |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937833|                  1 |EA |E007.A40919|100866.01_PW_SMV13  |12  |100866.01_PW_SMV13 PLATE 5959x770x15    |E52           |12.03.2018      |12.03.2018       |B001.A05860|                                   |
| 1032937837|                  1 |EA |E007.A40933|100928.04_1LZ_V14   |01  |100928.04_1LZ_V14 PLATE 6829X770X15     |E52           |12.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937838|                  1 |EA |E007.A40934|100928.04_1LW_V14   |09  |100928.04_1LW_V14 PLATE 6829X770X15     |E52           |12.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937839|                  1 |EA |E007.A40935|100928.03_1PW_V14   |12  |100928.03_1PW_V14 PLATE 6829X770X15     |E52           |12.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937856|                  2 |EA |E007.A28012|602427.01           |3   |602427.01 T=15 PLATE OUTER SUSPENSION   |E52           |03.03.2018      |09.03.2018       |B001.A06272|                                   |
| 1032937870|                  2 |EA |E007.A40570|A02838.0500         |01  |A02838.0500 T=20 PLATE                  |E52           |01.03.2018      |08.03.2018       |B001.A02743|                                   |
| 1032937871|                  2 |EA |E007.A27270|601259.01           |1   |601259.01 T=15 UPPER PLATE              |E52           |05.03.2018      |09.03.2018       |B001.A06272|                                   |
| 1032937885|                  6 |EA |E007.A27185|A57970.0100-PA      |01  |A57970.0100 T=15 PLATE                  |E52           |03.03.2018      |09.03.2018       |B001.A06272|                                   |
| 1032937886|                 12 |EA |E007.A27185|A57970.0100-PA      |01  |A57970.0100 T=15 PLATE                  |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937890|                  8 |EA |E007.A08062|A23177.0400PA5      |01  |A23177.0400 T=15 PLATE                  |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937906|                  8 |EA |E007.A07702|A40095.0100PA       |02  |A40095.0100 T=20 PLATE                  |E52           |04.03.2018      |12.03.2018       |B001.A02743|                                   |
| 1032937917|                 16 |EA |E007.A07703|A40096.0100         |05  |A40096.0100 T=20 PLATE                  |E52           |03.03.2018      |12.03.2018       |B001.A02743|                                   |
| 1032937918|                  8 |EA |E007.A08062|A23177.0400PA5      |01  |A23177.0400 T=15 PLATE                  |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937922|                  2 |EA |E007.A33234|101452.01           |02  |101452.01 FRONT PLATE T=15              |E52           |03.03.2018      |15.03.2018       |B001.A06272|                                   |
| 1032937927|                  2 |EA |E007.A27216|100958              |01  |100958 REINFORCEMENT PLATE T=15 S355N   |E52           |05.03.2018      |09.03.2018       |B001.A06272|                                   |
| 1032937951|                  4 |EA |E007.A28015|602430.01           |2   |602430.01 T=15 REINFORCEMENT CYL. ATT   |E52           |08.03.2018      |14.03.2018       |B001.A06272|                                   |
| 1032937952|                  8 |EA |E007.A28169|5080138             |02  |5080138 T=16 S420ML                     |E52           |06.03.2018      |12.03.2018       |B001.A01384|                                   |
| 1032937959|                  4 |EA |E007.A14956|9106001477          |02  |PART T=20 S355J2G3 9106001477           |E52           |10.03.2018      |15.03.2018       |B001.A02743|                                   |
| 1032937977|                  3 |EA |E007.A31098|9106002392PA        |08  |9106002392PA PLATE t=20 S355N           |E52           |09.03.2018      |14.03.2018       |B001.A02743|                                   |
| 1032937987|                  4 |EA |E007.A34367|5259746PA           |00  |5259746 T=12 S690QL Pokrywa (U NAS)     |E52           |05.03.2018      |12.03.2018       |B001.A05930|                                   |
| 1032937994|                  4 |EA |E007.A10897|602347.01           |5   |602347.01 PLATE OUTER BEAM SUSPENSION   |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937995|                  4 |EA |E007.A10897|602347.01           |5   |602347.01 PLATE OUTER BEAM SUSPENSION   |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032937996|                 12 |EA |E007.A10906|800000PA            |51  |800000.92 T=15 REINFORCEMENT PLATE      |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938016|                  2 |EA |E007.A06924|100932.01           |04  |100932.01 FRONT PLATE T=20              |E52           |09.03.2018      |16.03.2018       |B001.A02743|                                   |
| 1032938022|                 12 |EA |E007.A27186|A57971.0100         |01  |A57971.0100 T=15                        |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938035|                  3 |EA |E007.A36424|100928.03-1B-PZ_PA03|01  |100928.03-1B-PZ PLATE 6829 X 770 X 15   |E52           |12.03.2018      |14.03.2018       |B001.A04507|                                   |
| 1032938037|                  4 |EA |E007.A03428|100870.01 PA02      |02  |100870.01 Plate T=20                    |E52           |06.03.2018      |12.03.2018       |B001.A02743|                                   |
| 1032938041|                 16 |EA |E007.A03437|100882.01PA         |03  |100882.01 Space PLATE  T=15             |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938053|                 12 |EA |E007.A09187|A56554.0100         |01  |REINFORCEMENT A56554.0100               |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938058|                  4 |EA |E007.A10903|602334.01PA2        |3   |602334.01 T=15 PLATE ATTACHMENT CYLINDER|E52           |04.03.2018      |16.03.2018       |B001.A06272|                                   |
| 1032938060|                  2 |EA |E007.A10920|602337.01           |2   |PLATE FRONT NOSE 602337.01              |E52           |05.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938061|                  4 |EA |E007.A10921|602338.01           |2   |PLATE REAR NOSE 602338.01               |E52           |04.03.2018      |12.03.2018       |B001.A02743|                                   |
| 1032938064|                 16 |EA |E007.A10924|600026.01           |3   |600026.01 T=15 SPACER NOSE              |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938068|                  4 |EA |E007.A10932|602345.01           |1   |PLATE RIGHT 602345.01                   |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938077|                  4 |EA |E007.A03611|A40077.0100PA4      |02  |A40077.0100 T=15 PLATE RIGHT            |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938078|                  4 |EA |E007.A03612|A40078.0100PA4      |02  |A40078.0100 T=15 PLATE LEFT             |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938081|                  4 |EA |E007.A07752|A40095.0200PA       |01  |A40095.0200 T=20 PLATE                  |E52           |04.03.2018      |12.03.2018       |B001.A02743|                                   |
| 1032938082|                 16 |EA |E007.A09520|A02811.0100         |05  |SPACER A02811.0100                      |E52           |07.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938083|                 24 |EA |E007.A09521|A41731.0100         |02  |SPACER A41731.0100                      |E52           |07.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938084|                  6 |EA |E007.A10926|600028.01           |4   |600028.01 T=50 MOUNTING EAR NOSE        |E52           |07.03.2018      |12.03.2018       |B001.A02717|                                   |
| 1032938093|                  8 |EA |E007.A03613|A40079.0100PA3      |02  |A40079.0100 T=15 PLATE UNDELYING        |E52           |04.03.2018      |16.03.2018       |B001.A06272|                                   |
| 1032938101|                 40 |EA |E007.A16554|RHH-02-11           |01  |RHH-02-11 T=15 WYBIEG                   |E52           |06.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938111|                  1 |EA |E007.A33225|101457.01           |01  |101457.01 Plate T=15 S355N              |E52           |04.03.2018      |12.03.2018       |B001.A06272|                                   |
| 1032938112|                  1 |EA |E007.A33230|101453.01-3AW_PA    |01  |101453.01-3aW (przod) Plate2230x265 T=25|E52           |11.03.2018      |15.03.2018       |B001.A02677|                                   |
| 1032938114|                  1 |EA |E007.A40917|101454.01W_SMV13    |02  |101454.01W_SMV13 PLATE FRONT T=15       |E52           |12.03.2018      |13.03.2018       |B001.A06272|                                   |
